Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A02%3A33,1,0,3183.0890999990515,3183.0890999990515,3183.0890999990515,3183.0890999990515,4.0,0.0031903944183578415,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A02%3A54,1,0,447.02479999978095,447.02479999978095,447.02479999978095,447.02479999978095,4.0,0.0031903944183578415,0.0,450,450,450,450,450,450,450,450,450,450,450
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A03%3A12,1,0,7673.175199997786,7673.175199997786,7673.175199997786,7673.175199997786,4.0,0.0031903944183578415,0.0,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A03%3A35,1,0,2712.993199998891,2712.993199998891,2712.993199998891,2712.993199998891,4.0,0.0031903944183578415,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A04%3A01,1,0,3268.6949000017194,3268.6949000017194,3268.6949000017194,3268.6949000017194,4.0,0.0031903944183578415,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A04%3A16,1,0,4836.731499999587,4836.731499999587,4836.731499999587,4836.731499999587,4.0,0.0031903944183578415,0.0,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A04%3A28,1,0,3058.1650999993144,3058.1650999993144,3058.1650999993144,3058.1650999993144,4.0,0.0031903944183578415,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A05%3A06,1,0,3781.3153000024613,3781.3153000024613,3781.3153000024613,3781.3153000024613,4.0,0.0031903944183578415,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A05%3A11,1,0,1832.7334999994491,1832.7334999994491,1832.7334999994491,1832.7334999994491,4.0,0.0031903944183578415,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A05%3A43,1,0,4541.673199997604,4541.673199997604,4541.673199997604,4541.673199997604,4.0,0.0031903944183578415,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A05%3A48,1,0,2703.3420000007027,2703.3420000007027,2703.3420000007027,2703.3420000007027,4.0,0.0031903944183578415,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A05%3A52,1,0,3257.1115999999165,3257.1115999999165,3257.1115999999165,3257.1115999999165,4.0,0.0031903944183578415,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A05%3A56,1,0,4452.447499999835,4452.447499999835,4452.447499999835,4452.447499999835,4.0,0.0031903944183578415,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
PUT,/orders?user_id=1299&order_date=2022-04-11+20%3A01%3A02,1,0,1772.7368999985629,1772.7368999985629,1772.7368999985629,1772.7368999985629,4.0,0.0031903944183578415,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
PUT,/orders?user_id=1347&order_date=2022-04-11+20%3A02%3A31,1,0,608.427600000141,608.427600000141,608.427600000141,608.427600000141,4.0,0.0031903944183578415,0.0,610,610,610,610,610,610,610,610,610,610,610
PUT,/orders?user_id=1347&order_date=2022-04-11+20%3A03%3A07,1,0,3811.9963000026473,3811.9963000026473,3811.9963000026473,3811.9963000026473,4.0,0.0031903944183578415,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
PUT,/orders?user_id=1347&order_date=2022-04-11+20%3A03%3A15,1,0,4045.73259999961,4045.73259999961,4045.73259999961,4045.73259999961,4.0,0.0031903944183578415,0.0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
PUT,/orders?user_id=1347&order_date=2022-04-11+20%3A04%3A45,1,0,5988.664400003472,5988.664400003472,5988.664400003472,5988.664400003472,4.0,0.0031903944183578415,0.0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
PUT,/orders?user_id=1347&order_date=2022-04-11+20%3A04%3A52,1,0,5134.945900001185,5134.945900001185,5134.945900001185,5134.945900001185,4.0,0.0031903944183578415,0.0,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
PUT,/orders?user_id=1347&order_date=2022-04-11+20%3A05%3A16,1,0,2825.6847000011476,2825.6847000011476,2825.6847000011476,2825.6847000011476,4.0,0.0031903944183578415,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
PUT,/orders?user_id=1347&order_date=2022-04-11+20%3A05%3A27,1,0,3224.0989999991143,3224.0989999991143,3224.0989999991143,3224.0989999991143,4.0,0.0031903944183578415,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
PUT,/orders?user_id=1347&order_date=2022-04-11+20%3A05%3A48,1,0,551.1245999987295,551.1245999987295,551.1245999987295,551.1245999987295,4.0,0.0031903944183578415,0.0,550,550,550,550,550,550,550,550,550,550,550
PUT,/orders?user_id=1347&order_date=2022-04-11+20%3A05%3A53,1,0,3535.784200001217,3535.784200001217,3535.784200001217,3535.784200001217,4.0,0.0031903944183578415,0.0,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
PUT,/orders?user_id=1358&order_date=2022-04-11+20%3A02%3A41,1,0,3849.2570999987947,3849.2570999987947,3849.2570999987947,3849.2570999987947,4.0,0.0031903944183578415,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
PUT,/orders?user_id=1358&order_date=2022-04-11+20%3A03%3A11,1,0,1904.5651000014914,1904.5651000014914,1904.5651000014914,1904.5651000014914,4.0,0.0031903944183578415,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
PUT,/orders?user_id=1358&order_date=2022-04-11+20%3A03%3A14,1,0,3237.4116999999387,3237.4116999999387,3237.4116999999387,3237.4116999999387,4.0,0.0031903944183578415,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
PUT,/orders?user_id=1358&order_date=2022-04-11+20%3A04%3A30,1,0,3393.182199997682,3393.182199997682,3393.182199997682,3393.182199997682,4.0,0.0031903944183578415,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
PUT,/orders?user_id=1358&order_date=2022-04-11+20%3A04%3A34,1,0,2280.400700001337,2280.400700001337,2280.400700001337,2280.400700001337,4.0,0.0031903944183578415,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
PUT,/orders?user_id=1358&order_date=2022-04-11+20%3A04%3A37,1,0,8967.2685000005,8967.2685000005,8967.2685000005,8967.2685000005,4.0,0.0031903944183578415,0.0,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
PUT,/orders?user_id=1358&order_date=2022-04-11+20%3A05%3A29,1,0,2981.8505000002915,2981.8505000002915,2981.8505000002915,2981.8505000002915,4.0,0.0031903944183578415,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
PUT,/orders?user_id=1358&order_date=2022-04-11+20%3A05%3A47,1,0,2707.0644000014,2707.0644000014,2707.0644000014,2707.0644000014,4.0,0.0031903944183578415,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PUT,/orders?user_id=1358&order_date=2022-04-11+20%3A05%3A58,1,0,3057.796299999609,3057.796299999609,3057.796299999609,3057.796299999609,4.0,0.0031903944183578415,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/orders?user_id=1366,5,0,7000.0,6871.867899999779,5512.636999999813,7925.031599999784,3255.0,0.015951972091789206,0.0,7000,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
PUT,/orders?user_id=1380&order_date=2022-04-11+20%3A03%3A09,1,0,2551.4781000019866,2551.4781000019866,2551.4781000019866,2551.4781000019866,4.0,0.0031903944183578415,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
PUT,/orders?user_id=1380&order_date=2022-04-11+20%3A03%3A25,1,0,4441.225700000359,4441.225700000359,4441.225700000359,4441.225700000359,4.0,0.0031903944183578415,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
PUT,/orders?user_id=1380&order_date=2022-04-11+20%3A03%3A51,1,0,2246.1167000001296,2246.1167000001296,2246.1167000001296,2246.1167000001296,4.0,0.0031903944183578415,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
PUT,/orders?user_id=1380&order_date=2022-04-11+20%3A04%3A28,1,0,2272.0227999998315,2272.0227999998315,2272.0227999998315,2272.0227999998315,4.0,0.0031903944183578415,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
PUT,/orders?user_id=1380&order_date=2022-04-11+20%3A04%3A47,1,0,3691.502200003015,3691.502200003015,3691.502200003015,3691.502200003015,4.0,0.0031903944183578415,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
PUT,/orders?user_id=1380&order_date=2022-04-11+20%3A04%3A52,1,0,4315.798700001324,4315.798700001324,4315.798700001324,4315.798700001324,4.0,0.0031903944183578415,0.0,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
PUT,/orders?user_id=140&order_date=2022-04-11+20%3A02%3A07,1,0,1268.5050000000047,1268.5050000000047,1268.5050000000047,1268.5050000000047,4.0,0.0031903944183578415,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
PUT,/orders?user_id=140&order_date=2022-04-11+20%3A02%3A11,1,0,2907.594500000414,2907.594500000414,2907.594500000414,2907.594500000414,4.0,0.0031903944183578415,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
PUT,/orders?user_id=143&order_date=2022-04-11+20%3A02%3A06,1,0,1698.0343999966863,1698.0343999966863,1698.0343999966863,1698.0343999966863,4.0,0.0031903944183578415,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
PUT,/orders?user_id=143&order_date=2022-04-11+20%3A02%3A10,1,0,2878.740399999515,2878.740399999515,2878.740399999515,2878.740399999515,4.0,0.0031903944183578415,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/orders?user_id=1445,27,0,6900.0,7487.508262962634,2244.9099000004935,13440.485700000863,8345.0,0.08614064929566172,0.0,6900,7400,9300,9500,12000,12000,13000,13000,13000,13000,13000
PUT,/orders?user_id=1485&order_date=2022-04-11+20%3A01%3A08,1,0,1063.5061000029964,1063.5061000029964,1063.5061000029964,1063.5061000029964,4.0,0.0031903944183578415,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
PUT,/orders?user_id=1485&order_date=2022-04-11+20%3A01%3A19,1,0,1714.3300999996427,1714.3300999996427,1714.3300999996427,1714.3300999996427,4.0,0.0031903944183578415,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
PUT,/orders?user_id=1511&order_date=2022-04-11+20%3A01%3A01,1,0,1498.005600002216,1498.005600002216,1498.005600002216,1498.005600002216,4.0,0.0031903944183578415,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
PUT,/orders?user_id=1511&order_date=2022-04-11+20%3A01%3A03,1,0,2186.3037000002805,2186.3037000002805,2186.3037000002805,2186.3037000002805,4.0,0.0031903944183578415,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
PUT,/orders?user_id=1511&order_date=2022-04-11+20%3A01%3A09,1,0,354.3680000002496,354.3680000002496,354.3680000002496,354.3680000002496,4.0,0.0031903944183578415,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/orders?user_id=1512,24,0,7900.0,8139.393604166647,4237.990000001446,14095.465200000035,10165.0,0.07656946604058819,0.0,8000,8400,9000,9200,10000,13000,14000,14000,14000,14000,14000
PUT,/orders?user_id=1519&order_date=2022-04-11+20%3A01%3A04,1,0,680.0518000018201,680.0518000018201,680.0518000018201,680.0518000018201,4.0,0.0031903944183578415,0.0,680,680,680,680,680,680,680,680,680,680,680
GET,/orders?user_id=1533,3,0,830.0,1477.4489666694233,434.0700000029756,3165.452600002027,5493.0,0.009571183255073524,0.0,830,830,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/orders?user_id=1655,1,0,9648.752900000545,9648.752900000545,9648.752900000545,9648.752900000545,6972.0,0.0031903944183578415,0.0,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
GET,/orders?user_id=1674,1,0,7296.151599999575,7296.151599999575,7296.151599999575,7296.151599999575,4178.0,0.0031903944183578415,0.0,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300
GET,/orders?user_id=1854,25,0,7300.0,7467.101744000538,4605.088199998136,11354.339000001346,7221.0,0.07975986045894604,0.0,7300,8100,8300,8600,9000,11000,11000,11000,11000,11000,11000
GET,/orders?user_id=1887,27,0,8500.0,8831.781881481691,6077.582699999766,14495.664899997792,6589.0,0.08614064929566172,0.0,8500,8900,9500,9600,12000,14000,14000,14000,14000,14000,14000
PUT,/orders?user_id=1908&order_date=2022-04-11+20%3A01%3A14,1,0,2089.7366000026523,2089.7366000026523,2089.7366000026523,2089.7366000026523,4.0,0.0031903944183578415,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
PUT,/orders?user_id=1908&order_date=2022-04-11+20%3A01%3A31,1,0,2040.7387000013841,2040.7387000013841,2040.7387000013841,2040.7387000013841,4.0,0.0031903944183578415,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
PUT,/orders?user_id=1982&order_date=2022-04-11+20%3A02%3A06,1,0,1571.77270000102,1571.77270000102,1571.77270000102,1571.77270000102,4.0,0.0031903944183578415,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
PUT,/orders?user_id=200&order_date=2022-04-11+20%3A01%3A59,1,0,3137.9527999997663,3137.9527999997663,3137.9527999997663,3137.9527999997663,4.0,0.0031903944183578415,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/orders?user_id=2184,23,0,10000.0,10229.921443478657,8008.988000001409,14755.385000000388,13707.0,0.07337907162223035,0.0,10000,11000,11000,11000,13000,13000,15000,15000,15000,15000,15000
PUT,/orders?user_id=2243&order_date=2022-04-11+20%3A02%3A10,1,0,3253.2920999983617,3253.2920999983617,3253.2920999983617,3253.2920999983617,4.0,0.0031903944183578415,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
PUT,/orders?user_id=2243&order_date=2022-04-11+20%3A02%3A15,1,0,722.2833000014361,722.2833000014361,722.2833000014361,722.2833000014361,4.0,0.0031903944183578415,0.0,720,720,720,720,720,720,720,720,720,720,720
PUT,/orders?user_id=2255&order_date=2022-04-11+20%3A02%3A06,1,0,1498.7241000017093,1498.7241000017093,1498.7241000017093,1498.7241000017093,4.0,0.0031903944183578415,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/orders?user_id=2263,1,0,5604.447400000936,5604.447400000936,5604.447400000936,5604.447400000936,10243.0,0.0031903944183578415,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
PUT,/orders?user_id=233&order_date=2022-04-11+20%3A00%3A52,1,0,97.38949999882607,97.38949999882607,97.38949999882607,97.38949999882607,4.0,0.0031903944183578415,0.0,97,97,97,97,97,97,97,97,97,97,97
PUT,/orders?user_id=233&order_date=2022-04-11+20%3A00%3A53,1,0,495.3315999991901,495.3315999991901,495.3315999991901,495.3315999991901,4.0,0.0031903944183578415,0.0,500,500,500,500,500,500,500,500,500,500,500
PUT,/orders?user_id=233&order_date=2022-04-11+20%3A00%3A56,1,0,325.9741000001668,325.9741000001668,325.9741000001668,325.9741000001668,4.0,0.0031903944183578415,0.0,330,330,330,330,330,330,330,330,330,330,330
PUT,/orders?user_id=233&order_date=2022-04-11+20%3A01%3A01,1,0,842.0580999991216,842.0580999991216,842.0580999991216,842.0580999991216,4.0,0.0031903944183578415,0.0,840,840,840,840,840,840,840,840,840,840,840
PUT,/orders?user_id=233&order_date=2022-04-11+20%3A01%3A03,1,0,1406.8268000009994,1406.8268000009994,1406.8268000009994,1406.8268000009994,4.0,0.0031903944183578415,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
PUT,/orders?user_id=233&order_date=2022-04-11+20%3A01%3A06,1,0,1445.6375000008848,1445.6375000008848,1445.6375000008848,1445.6375000008848,4.0,0.0031903944183578415,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/orders?user_id=2347,23,0,9600.0,9870.914695652058,8356.460599999991,12671.600599998783,14987.0,0.07337907162223035,0.0,9600,10000,10000,11000,11000,12000,13000,13000,13000,13000,13000
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A02%3A06,1,0,1640.871400002652,1640.871400002652,1640.871400002652,1640.871400002652,4.0,0.0031903944183578415,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A02%3A12,1,0,2791.3928000016313,2791.3928000016313,2791.3928000016313,2791.3928000016313,4.0,0.0031903944183578415,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A02%3A19,1,0,775.1145000001998,775.1145000001998,775.1145000001998,775.1145000001998,4.0,0.0031903944183578415,0.0,780,780,780,780,780,780,780,780,780,780,780
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A02%3A21,1,0,4419.835600001534,4419.835600001534,4419.835600001534,4419.835600001534,4.0,0.0031903944183578415,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A02%3A28,1,0,2598.0428000002576,2598.0428000002576,2598.0428000002576,2598.0428000002576,4.0,0.0031903944183578415,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A02%3A58,1,0,2143.131100001483,2143.131100001483,2143.131100001483,2143.131100001483,4.0,0.0031903944183578415,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A03%3A12,1,0,6351.051099998585,6351.051099998585,6351.051099998585,6351.051099998585,4.0,0.0031903944183578415,0.0,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A03%3A54,1,0,2832.33680000194,2832.33680000194,2832.33680000194,2832.33680000194,4.0,0.0031903944183578415,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A04%3A08,1,0,3794.7554999991553,3794.7554999991553,3794.7554999991553,3794.7554999991553,4.0,0.0031903944183578415,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A04%3A13,1,0,2992.725000000064,2992.725000000064,2992.725000000064,2992.725000000064,4.0,0.0031903944183578415,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A04%3A22,1,0,4242.415400000027,4242.415400000027,4242.415400000027,4242.415400000027,4.0,0.0031903944183578415,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A05%3A06,1,0,4079.5020000005024,4079.5020000005024,4079.5020000005024,4079.5020000005024,4.0,0.0031903944183578415,0.0,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A05%3A11,1,0,1727.3199999981443,1727.3199999981443,1727.3199999981443,1727.3199999981443,4.0,0.0031903944183578415,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A05%3A42,1,0,4070.367399999668,4070.367399999668,4070.367399999668,4070.367399999668,4.0,0.0031903944183578415,0.0,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/orders?user_id=2352&order_date=2022-04-11+20%3A05%3A48,1,0,2861.5629999985686,2861.5629999985686,2861.5629999985686,2861.5629999985686,4.0,0.0031903944183578415,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A02%3A29,1,0,1993.9534000004642,1993.9534000004642,1993.9534000004642,1993.9534000004642,4.0,0.0031903944183578415,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A03%3A00,1,0,2900.404299998627,2900.404299998627,2900.404299998627,2900.404299998627,4.0,0.0031903944183578415,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A03%3A04,1,0,1934.6636000009312,1934.6636000009312,1934.6636000009312,1934.6636000009312,4.0,0.0031903944183578415,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A03%3A07,1,0,4929.898999998841,4929.898999998841,4929.898999998841,4929.898999998841,4.0,0.0031903944183578415,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A04%3A00,1,0,649.2591999995057,649.2591999995057,649.2591999995057,649.2591999995057,4.0,0.0031903944183578415,0.0,650,650,650,650,650,650,650,650,650,650,650
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A04%3A03,1,0,2664.5822999998927,2664.5822999998927,2664.5822999998927,2664.5822999998927,4.0,0.0031903944183578415,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A04%3A07,1,0,4945.083599999634,4945.083599999634,4945.083599999634,4945.083599999634,4.0,0.0031903944183578415,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A04%3A17,1,0,3294.368900002155,3294.368900002155,3294.368900002155,3294.368900002155,4.0,0.0031903944183578415,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A04%3A36,1,0,3544.149400000606,3544.149400000606,3544.149400000606,3544.149400000606,4.0,0.0031903944183578415,0.0,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A04%3A55,1,0,2955.384699998831,2955.384699998831,2955.384699998831,2955.384699998831,4.0,0.0031903944183578415,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A04%3A58,1,0,2388.1975000003877,2388.1975000003877,2388.1975000003877,2388.1975000003877,4.0,0.0031903944183578415,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A05%3A03,1,0,4089.022100000875,4089.022100000875,4089.022100000875,4089.022100000875,4.0,0.0031903944183578415,0.0,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A05%3A08,1,0,4300.072199999704,4300.072199999704,4300.072199999704,4300.072199999704,4.0,0.0031903944183578415,0.0,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A05%3A23,1,0,4995.781500001613,4995.781500001613,4995.781500001613,4995.781500001613,4.0,0.0031903944183578415,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A05%3A33,1,0,2950.061100000312,2950.061100000312,2950.061100000312,2950.061100000312,4.0,0.0031903944183578415,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
PUT,/orders?user_id=2416&order_date=2022-04-11+20%3A05%3A41,1,0,3355.5960999983654,3355.5960999983654,3355.5960999983654,3355.5960999983654,4.0,0.0031903944183578415,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
PUT,/orders?user_id=2435&order_date=2022-04-11+20%3A01%3A36,1,0,3441.905499999848,3441.905499999848,3441.905499999848,3441.905499999848,4.0,0.0031903944183578415,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
PUT,/orders?user_id=2440&order_date=2022-04-11+20%3A02%3A05,1,0,2045.0128999982553,2045.0128999982553,2045.0128999982553,2045.0128999982553,4.0,0.0031903944183578415,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
